agreeableness,extraversion,neuroticism,education,age
3.6,3.6,4.4,3,20
3.4,3.8,3.8,5,36
5.0,6.0,3.6,1,18
5.4,4.8,2.8,3,27
4.0,5.8,1.2,2,30
4.6,4.6,1.6,3,18
4.8,3.6,4.0,3,20
5.2,4.6,1.8,3,55
5.6,4.0,3.4,3,17
3.8,3.8,3.4,4,28
4.6,4.8,5.2,3,19
4.8,5.6,2.75,3,19
6.0,6.0,1.8,NA,16
5.8,5.2,3.6,1,31
4.4,5.8,4.6,3,50
5.4,4.8,3.0,3,31
5.6,5.4,1.8,5,27
4.2,2.6,4.2,3,16
5.2,5.2,4.4,3,18
5.0,3.8,4.6,3,20
4.2,3.0,3.8,3,21
5.8,5.4,2.8,5,32
3.2,3.0,2.6,3,30
4.8,4.2,4.2,3,24
4.8,3.6,5.4,1,35
5.4,5.2,3.6,3,19
5.0,3.2,5.6,3,23
3.8,3.6,3.2,NA,16
6.0,6.0,2.2,4,21
5.8,4.2,4.0,3,22
5.4,3.6,3.4,3,20
5.0,4.8,1.0,4,26
4.6,3.0,3.4,3,19
5.0,5.6,4.0,5,25
5.4,5.6,5.4,5,28
5.2,5.4,3.0,NA,17
4.8,5.2,2.6,NA,16
3.8,3.8,3.0,NA,17
5.0,2.8,2.2,1,29
3.8,3.4,3.4,2,19
5.4,4.6,3.8,4,47
5.0,3.4,1.4,4,52
5.4,2.4,2.4,4,22
4.8,4.8,3.4,3,18
4.2,4.8,3.8,3,30
4.4,3.8,4.0,NA,17
2.4,2.8,4.0,3,31
5.6,3.8,4.0,2,56
4.0,5.2,2.4,4,28
5.6,5.8,3.4,4,33
5.4,4.0,2.2,3,30
5.2,3.8,3.6,3,23
5.2,4.6,1.2,3,20
6.0,5.8,2.2,2,27
4.2,5.4,4.8,2,25
4.2,3.8,5.2,2,27
5.0,4.6,3.0,NA,56
3.4,3.2,5.8,3,18
3.4,4.6,2.4,1,18
5.8,4.8,2.0,3,21
3.4,3.8,4.2,2,19
5.8,5.6,1.8,2,18
2.6,2.8,5.2,4,29
3.8,3.4,4.0,4,33
4.0,2.8,3.8,3,31
5.6,5.0,2.6,5,33
4.25,2.8,2.8,5,28
4.6,2.0,3.8,3,21
5.2,6.0,5.8,4,45
4.0,3.4,3.0,5,44
5.6,3.6,4.6,3,18
5.4,4.8,2.0,5,27
3.0,3.6,5.4,4,45
5.6,5.0,2.6,2,18
5.6,2.2,5.25,3,24
3.8,3.4,5.6,2,48
4.8,5.6,5.0,3,29
6.0,5.2,2.0,1,51
5.0,2.8,4.2,2,50
4.0,3.0,4.0,2,36
4.0,3.4,3.4,NA,18
5.2,5.0,4.25,4,52
4.4,2.8,3.8,5,38
5.6,5.8,2.4,3,17
4.8,5.6,2.6,5,53
5.2,4.8,4.2,5,35
5.0,2.8,4.2,3,21
4.6,3.8,5.4,3,29
5.2,5.2,3.4,5,36
4.2,4.0,4.0,3,19
4.6,4.0,4.2,3,23
5.2,4.6,3.8,2,39
3.6,4.4,3.2,3,19
4.8,3.8,3.6,NA,17
4.6,5.4,2.4,3,18
5.4,3.75,4.0,3,25
4.0,3.6,2.6,NA,15
5.0,2.2,3.6,3,20
5.4,3.2,3.6,NA,14
4.8,5.2,2.8,3,20
5.2,4.6,4.8,1,25
4.8,5.6,4.6,5,64
5.0,4.8,2.2,2,18
5.4,4.2,3.4,3,20
4.2,3.4,4.0,1,19
5.2,4.2,2.8,5,32
4.0,4.0,3.0,2,49
5.2,6.0,3.8,2,45
4.2,1.6,4.2,1,18
5.0,5.6,6.0,5,28
4.0,2.6,3.2,5,22
4.0,3.6,3.4,4,25
6.0,6.0,1.0,5,34
4.6,3.4,3.6,5,42
4.6,4.6,2.8,3,37
5.8,5.4,1.0,3,42
5.2,4.0,2.4,5,23
3.6,5.2,3.6,4,29
3.0,1.6,1.6,2,18
5.4,5.2,1.0,3,22
5.2,5.6,4.0,3,30
4.0,4.2,4.0,3,38
5.0,4.8,3.6,2,53
4.75,3.0,2.4,3,28
5.0,4.4,3.0,3,18
5.8,4.8,2.6,4,31
5.0,3.8,1.4,1,32
4.0,4.25,4.0,5,40
5.6,4.2,4.4,NA,15
4.0,4.4,2.2,2,23
4.6,4.0,3.8,4,34
5.8,4.8,4.2,5,29
5.0,3.2,2.4,3,51
6.0,5.4,2.8,3,22
5.0,4.4,2.0,3,38
4.2,5.8,2.6,5,26
3.5,4.2,2.4,2,36
4.4,4.0,2.6,3,19
5.0,4.4,4.6,3,33
5.4,5.0,4.4,1,40
4.2,3.6,2.2,5,26
5.0,3.8,3.6,NA,12
4.4,5.0,2.6,3,30
5.4,4.2,1.25,1,59
4.4,4.4,4.2,3,32
3.2,3.0,4.4,2,30
5.4,5.2,2.4,4,32
5.2,4.8,4.8,5,29
4.2,3.8,3.0,3,27
3.6,1.8,2.6,3,48
5.6,4.6,1.0,4,39
5.2,4.0,4.6,3,22
4.6,3.6,5.6,3,26
3.0,2.0,3.6,3,26
4.6,4.6,3.2,2,39
5.2,4.6,3.8,3,32
5.8,2.4,3.8,3,52
5.0,4.2,4.6,3,40
5.4,5.6,2.6,2,40
6.0,3.6,1.6,3,40
5.6,4.4,5.8,3,40
5.2,5.6,3.0,2,24
5.8,3.2,4.4,3,23
4.5,4.4,3.0,3,26
4.5,4.4,2.8,3,26
5.8,5.8,1.4,2,51
6.0,5.4,2.25,1,39
6.0,5.8,1.6,3,20
5.4,5.2,5.0,1,19
3.6,3.0,3.8,5,28
4.4,4.2,3.4,1,35
4.4,4.2,2.8,1,35
4.4,4.2,2.8,1,35
4.4,4.2,3.2,1,35
5.0,4.0,3.2,1,35
5.0,4.4,3.2,1,35
5.0,4.4,3.2,1,35
4.6,4.4,1.8,4,32
4.6,4.6,4.6,3,24
5.6,4.8,1.8,1,23
4.2,4.0,5.4,3,39
5.2,2.6,2.2,4,48
4.6,3.2,5.8,1,26
4.2,3.8,3.6,3,28
5.8,4.8,2.0,1,23
5.2,3.6,1.8,3,24
5.4,4.6,2.0,3,29
2.2,4.2,6.0,NA,19
1.6,1.2,1.0,3,29
5.8,5.2,2.4,3,26
3.2,1.8,4.6,NA,15
4.4,5.0,2.6,3,37
5.4,5.6,2.8,3,30
4.8,5.0,3.2,3,36
5.6,5.6,3.8,3,33
5.0,4.0,1.6,3,23
6.0,6.0,2.4,2,22
5.0,5.0,3.8,3,17
2.6,1.4,2.6,2,28
3.4,4.4,4.6,3,36
4.8,4.2,2.0,3,29
5.0,3.0,5.0,5,59
5.6,4.8,1.6,3,19
5.4,5.2,5.0,3,27
4.4,4.0,3.0,4,41
5.4,4.8,1.2,4,27
5.25,6.0,2.4,2,24
4.8,5.2,4.6,5,60
5.6,1.8,4.2,3,52
5.8,5.75,3.2,3,21
5.0,4.0,4.2,3,20
5.8,4.8,1.0,3,25
5.8,4.0,3.8,3,24
3.2,3.6,3.6,2,25
3.8,3.4,2.8,2,30
2.0,2.6,3.8,3,19
4.6,4.8,2.0,3,17
5.8,3.6,2.6,3,52
5.0,5.2,4.6,3,27
6.0,6.0,4.2,3,55
5.2,5.6,4.4,5,39
6.0,5.4,2.8,3,39
4.0,2.0,2.6,3,39
4.2,4.0,3.8,3,18
5.0,5.6,1.4,3,51
5.8,3.0,2.4,3,25
5.2,4.6,1.8,1,15
4.8,4.0,4.2,2,42
5.2,4.8,4.8,4,24
5.4,3.2,2.4,3,46
5.4,5.0,3.2,3,37
4.8,3.6,2.8,3,24
4.8,3.8,3.4,3,20
4.6,5.6,3.0,4,50
4.8,3.2,3.0,3,46
4.2,5.2,4.4,2,23
4.6,4.8,2.4,3,18
4.4,4.6,2.6,2,21
4.2,5.2,5.6,3,26
5.6,4.4,4.4,3,53
5.6,5.2,1.2,2,26
6.0,5.0,1.4,3,30
4.4,5.2,4.0,2,51
5.0,4.2,3.6,3,34
4.2,4.6,3.2,3,28
5.0,4.8,3.6,2,42
5.6,4.4,3.4,3,21
6.0,5.2,5.2,3,20
5.2,4.4,3.6,1,26
5.6,4.4,3.0,3,18
5.0,4.6,3.2,3,39
4.0,5.4,1.0,3,45
4.8,5.8,4.4,3,20
4.4,4.8,1.6,3,43
4.6,2.6,2.8,3,23
5.0,4.6,3.6,3,25
5.4,4.2,4.4,3,51
5.0,3.8,4.6,3,26
6.0,5.8,1.2,3,28
5.0,5.4,3.0,3,23
5.2,4.2,3.8,3,34
4.8,4.0,1.8,3,23
5.0,4.25,1.8,3,29
5.6,5.6,4.4,3,35
4.4,3.5,4.6,3,40
5.0,6.0,5.0,2,27
4.8,4.6,3.0,4,45
5.6,5.8,1.2,2,60
5.0,3.4,3.6,3,27
4.2,4.2,2.5,3,20
5.2,3.6,3.6,3,21
4.4,5.0,4.8,3,25
5.4,4.2,6.0,2,51
5.2,4.2,2.6,3,27
4.2,1.6,5.0,3,24
5.6,5.2,2.0,1,21
4.0,2.4,3.0,2,55
3.2,4.0,4.6,2,30
3.2,3.5,4.0,3,31
4.8,4.4,4.4,2,22
4.6,3.6,2.4,3,28
3.8,4.6,4.6,3,24
5.8,3.8,4.6,3,31
5.4,4.4,3.0,3,43
4.8,4.4,2.4,3,60
4.4,2.6,3.6,3,36
4.0,4.2,3.5,4,40
4.4,5.6,1.8,3,21
5.2,5.4,1.8,4,21
4.4,4.4,4.8,1,19
5.0,3.4,1.0,3,36
3.2,2.8,5.2,4,42
4.4,5.0,2.6,2,24
6.0,5.6,1.8,3,44
5.4,4.0,4.4,3,30
5.4,5.4,3.0,3,23
3.8,4.6,4.8,2,26
5.8,5.6,2.2,3,32
4.8,3.8,2.6,3,29
5.8,5.0,2.6,3,47
4.8,4.2,1.6,3,44
4.4,3.8,5.0,3,25
5.2,5.0,3.6,3,28
5.8,5.2,3.4,4,32
4.2,3.4,2.8,3,37
6.0,5.4,4.2,3,39
5.6,5.0,1.6,2,40
5.6,5.4,3.2,4,26
4.0,4.0,3.0,3,27
4.2,3.8,3.8,3,41
5.2,2.6,4.2,3,34
6.0,6.0,1.2,3,23
5.0,5.6,4.8,3,31
5.0,3.0,2.8,3,38
5.4,3.8,2.2,3,44
4.4,5.8,3.0,3,31
5.6,4.6,4.2,5,33
3.0,2.4,4.6,3,28
5.4,5.6,1.0,3,46
5.0,4.4,6.0,3,36
5.0,3.6,3.2,3,28
5.6,3.8,2.0,3,28
5.4,5.2,1.6,3,42
5.2,4.8,2.4,3,32
3.2,3.0,3.6,3,19
5.0,4.8,4.0,3,25
4.8,4.2,4.0,5,37
5.6,5.4,3.2,3,29
3.2,4.4,5.8,3,32
5.4,5.6,2.0,3,27
4.8,3.6,2.6,3,27
5.0,4.4,5.0,3,39
5.0,4.8,3.4,NA,45
4.4,5.0,3.8,3,38
5.4,4.8,2.2,1,22
5.4,4.4,4.0,1,23
4.2,3.8,2.0,3,25
6.0,5.8,1.8,3,35
5.4,4.4,2.2,3,33
5.0,5.8,2.0,2,28
6.0,3.8,2.0,3,43
5.4,5.2,1.2,1,30
4.4,3.6,4.0,3,27
5.2,5.6,2.2,3,19
5.2,5.4,2.8,2,23
5.8,5.6,2.8,3,31
3.6,3.8,4.2,1,22
5.4,4.0,1.8,3,40
5.6,2.6,4.0,3,40
6.0,4.2,4.0,3,55
6.0,4.2,4.0,3,55
6.0,6.0,1.2,3,54
4.8,3.0,3.8,1,53
5.8,3.8,3.2,3,20
5.4,4.0,1.8,3,52
6.0,4.0,1.4,3,25
5.6,4.0,4.0,3,46
4.0,3.6,2.8,3,19
4.0,5.2,3.6666666666666665,3,38
4.4,4.2,4.2,3,27
5.2,4.2,4.0,3,27
5.2,4.4,2.4,3,34
5.0,3.6,3.8,3,21
5.2,6.0,2.0,2,29
4.8,4.0,3.8,3,27
4.0,3.0,5.4,2,41
4.2,5.0,1.0,3,52
3.8,2.0,5.8,3,30
5.0,4.6,2.4,2,50
3.8,3.8,3.8,3,43
5.6,5.0,2.4,5,32
2.6,3.8,5.6,3,19
5.8,3.6,4.4,4,22
5.0,4.2,2.2,3,21
3.2,2.4,4.2,5,50
5.6,3.8,4.4,4,27
5.0,3.4,2.2,3,48
3.4,2.8,3.2,NA,12
4.8,3.0,2.0,3,43
5.2,6.0,1.8,3,37
4.6,4.2,2.6,3,18
4.8,3.8,3.0,3,18
5.6,4.0,3.8,3,24
5.4,4.8,3.6,3,23
4.0,5.8,3.75,3,20
6.0,4.2,2.8,2,32
5.0,3.6,1.8,4,37
5.8,3.0,2.8,3,19
4.0,2.6,3.6,3,29
4.4,5.0,1.0,3,20
5.6,5.2,1.4,4,26
4.0,2.4,4.8,4,33
3.8,3.0,3.4,5,38
5.8,4.8,3.2,2,26
5.2,5.6,5.4,3,30
5.2,4.4,1.4,3,36
6.0,3.6,2.0,3,41
5.6,3.8,3.8,5,34
5.4,3.2,3.6,3,35
5.2,4.2,3.0,3,40
1.0,2.0,5.0,3,33
4.2,3.6,4.0,3,28
4.8,5.2,5.2,3,29
1.6,3.4,4.6,NA,17
4.8,4.8,2.0,3,50
4.75,5.8,5.0,3,20
4.2,3.4,4.6,3,19
5.0,5.2,5.0,2,25
4.4,4.0,4.4,3,31
4.8,5.0,3.6,4,32
5.8,4.8,2.8,3,32
2.8,3.8,3.75,3,19
5.4,4.0,3.2,3,22
5.0,2.6,4.4,3,23
4.8,4.0,1.0,1,18
5.5,5.5,3.5,3,19
5.4,4.2,3.6,3,24
4.5,4.0,4.8,3,30
5.75,4.8,1.4,3,33
4.6,2.2,3.2,2,51
4.4,4.4,2.8,4,44
4.0,4.6,4.6,3,23
4.0,3.0,4.0,3,22
5.4,6.0,3.2,3,26
5.0,3.8,4.2,3,24
6.0,5.0,5.6,3,52
5.8,5.8,1.0,3,43
4.6,4.0,2.6,3,25
5.8,5.6,2.2,3,26
5.2,5.0,2.4,2,26
5.4,4.2,4.8,4,25
6.0,6.0,1.0,2,26
4.0,3.0,5.2,2,41
4.2,3.6,5.2,1,21
5.6,3.4,3.4,3,23
3.2,1.8,2.4,4,34
6.0,4.6,1.6,3,41
4.4,4.4,3.0,3,23
5.6,3.8,4.2,2,24
5.4,2.6,5.2,4,45
4.8,5.2,2.4,3,43
5.0,3.8,4.2,NA,15
5.4,5.2,2.6,NA,15
4.6,5.0,5.0,NA,16
4.6,4.8,1.8,NA,16
3.4,3.2,3.8,NA,15
4.0,3.0,2.6,NA,16
5.6,4.8,1.6,4,27
6.0,4.8,5.2,5,37
4.8,5.0,2.0,2,25
3.0,3.6,4.0,NA,16
5.0,4.6,2.6,3,21
3.0,3.8,3.6,NA,16
3.2,3.8,3.2,NA,16
4.2,4.0,2.0,3,27
4.4,4.6,2.0,3,27
4.2,4.6,1.4,3,30
5.2,2.8,2.4,3,23
5.2,5.6,1.5,3,41
4.0,2.6,4.6,3,26
5.4,4.6,2.4,3,17
4.4,3.4,3.0,3,35
4.0,4.4,1.0,3,18
3.2,2.4,4.0,3,19
4.8,3.2,4.2,2,42
5.6,5.2,3.2,3,19
5.6,5.8,5.2,3,35
6.0,5.2,1.8,3,52
4.8,4.6,2.6,3,19
4.6,3.6,3.4,3,41
5.8,5.2,2.6,4,23
5.75,4.2,4.6,3,42
5.0,5.6,2.4,1,19
5.0,5.8,2.2,3,45
5.0,5.4,3.0,3,44
4.2,2.2,1.8,3,21
5.2,5.4,2.8,1,19
4.6,3.6,4.4,3,18
4.8,3.0,3.2,5,34
4.4,3.8,1.6,5,25
5.6,5.4,2.0,5,53
5.4,4.0,2.8,3,36
3.6,3.2,5.0,1,19
5.2,5.2,3.75,4,31
4.2,5.2,4.0,5,23
5.8,4.8,1.4,3,19
4.2,4.2,2.8,3,26
4.6,4.8,4.0,2,23
4.6,5.0,1.4,3,25
3.8,4.6,3.4,NA,17
4.2,3.2,3.6,1,17
2.8,5.4,3.6,1,17
3.8,3.8,3.0,NA,17
4.2,4.8,5.2,3,16
4.6,2.8,3.4,NA,17
5.4,5.2,2.4,NA,17
4.0,3.8,3.4,NA,17
5.0,3.25,5.0,3,20
3.4,4.2,4.4,NA,17
3.4,4.6,3.8,NA,17
5.0,4.4,3.6,NA,16
4.4,3.8,3.4,NA,17
3.8,4.0,4.2,NA,17
5.2,4.8,3.0,NA,17
5.2,2.8,3.4,3,24
5.8,5.6,2.6,3,18
4.4,4.0,3.4,3,22
5.6,5.8,2.2,3,27
5.0,3.6,1.4,3,32
5.8,4.2,3.0,1,34
4.6,5.2,3.0,4,22
4.8,4.2,2.8,5,21
5.2,4.0,4.2,3,24
4.0,2.4,4.8,3,19
5.6,5.0,2.0,3,30
4.8,4.2,3.0,3,20
3.6,4.8,5.2,2,19
5.4,2.4,3.8,4,23
3.2,3.4,2.8,1,19
5.4,5.0,2.2,3,21
3.25,3.8,3.0,NA,17
4.8,5.4,3.2,3,21
5.0,4.0,3.8,3,25
4.4,4.6,2.4,3,22
4.8,4.6,1.0,3,21
4.2,1.4,5.4,NA,14
3.4,4.8,3.4,3,21
4.0,4.4,2.4,2,19
3.6,5.0,3.0,NA,13
4.6,5.4,2.6,2,31
4.6,3.6,2.4,4,34
3.0,3.2,5.0,NA,15
4.6,4.6,2.0,1,37
4.8,5.4,2.4,5,39
6.0,4.8,5.2,NA,17
4.2,4.4,3.0,1,16
5.2,4.8,2.4,1,16
3.0,4.6,1.4,NA,16
2.4,2.2,4.6,NA,40
3.6,3.4,3.8,NA,17
4.4,4.8,4.6,1,17
4.0,3.8,4.4,NA,17
5.2,5.4,2.8,NA,17
2.6,3.6,2.0,5,74
6.0,5.8,3.6,1,17
5.2,5.0,3.75,3,30
2.4,5.8,2.0,4,48
4.4,4.8,3.4,3,32
4.4,5.0,2.2,4,44
5.8,5.6,3.2,3,40
5.0,5.4,2.6,4,23
5.2,5.4,3.2,3,40
6.0,4.8,1.8,3,39
4.0,4.6,4.4,NA,17
3.8,3.0,5.2,3,25
5.0,3.6,1.2,1,24
4.8,5.0,2.4,NA,14
5.0,4.8,5.0,3,26
4.6,4.8,2.0,4,34
3.8,4.2,3.8,3,20
4.4,3.8,4.2,3,63
4.6,5.2,2.5,1,18
6.0,6.0,3.4,5,28
5.4,5.4,2.0,2,48
4.2,4.0,3.8,3,39
4.8,5.6,1.2,4,35
4.2,4.0,2.2,2,46
4.2,3.8,2.0,3,20
5.4,3.8,1.6,3,23
4.2,4.8,2.8,3,39
5.0,4.4,1.2,2,42
5.2,4.8,3.4,3,26
5.2,3.8,5.0,3,19
3.4,4.0,4.4,1,38
4.0,4.4,4.2,3,22
5.0,5.4,2.6,3,23
5.8,5.6,2.6,3,24
5.8,4.8,4.2,4,25
4.6,4.6,5.8,3,21
4.2,3.6,4.0,4,39
4.8,5.0,1.8,5,31
3.6,4.8,3.6,1,18
2.8,4.4,1.6,3,20
2.4,4.2,1.4,3,20
4.6,4.2,2.8,2,23
4.8,3.0,1.2,4,24
4.4,4.6,2.4,NA,57
3.2,4.6,2.6,3,20
5.8,4.8,3.4,3,22
5.0,4.2,4.0,3,21
4.6,3.2,3.6,4,23
4.8,4.6,2.0,3,22
5.2,4.0,5.4,3,20
4.8,5.25,4.8,3,31
4.2,3.0,5.2,2,48
5.4,4.6,2.4,5,29
4.6,2.6,3.6,3,23
5.6,5.0,3.2,1,34
4.2,5.2,1.8,3,21
5.0,4.0,4.8,3,27
3.8,2.8,1.0,4,28
4.75,5.0,2.6,3,19
4.4,4.8,5.0,1,16
5.4,4.4,2.8,4,41
5.2,4.4,5.2,2,34
6.0,5.6,1.0,4,32
